firm_id, sector   , baseline_production, baseline_emissions_intensity, target_emissions_intensity_2025, target_emissions_intensity_2026, risk_aversion, cash_on_hand, revenue_per_unit, is_covered, max_production_change_percent, variable_production_cost, ,            , 
AL_F1  , ALUMINIUM,             1238336,                      13.49  ,                         12.83  ,                         12.83  ,   0.775331388,  35662359000,     148.9941453 , True      ,                           0.1,                      200, , 3.56624E+13, 35662359000
AL_F2  , ALUMINIUM,              374049,                      15.63  ,                         14.74  ,                         14.74  ,   0.81512925 ,  12723863000,     112.5390934 , True      ,                           0.1,                      200, , 1.27239E+13, 12723863000
AL_F3  , ALUMINIUM,              591844,                      15.71  ,                         14.81  ,                         14.81  ,   0.8388828  ,  25786414000,     169.8858136 , True      ,                           0.1,                      200, , 2.57864E+13, 25786414000
AL_F4  , ALUMINIUM,              372000,                      16.7   ,                         15.68  ,                         15.68  ,   0.712004942,  31622310000,     202.6589987 , True      ,                           0.1,                      200, , 3.16223E+13, 31622310000
AL_F5  , ALUMINIUM,              555854,                      17.08  ,                         16.01  ,                         16.01  ,   0.57663189 ,  49201782000,     175.4679696 , True      ,                           0.1,                      200, , 4.92018E+13, 49201782000
AL_F6  , ALUMINIUM,              473457,                      17.35  ,                         16.25  ,                         16.25  ,   0.803265391,  20175337000,     179.7337745 , True      ,                           0.1,                      200, , 2.01753E+13, 20175337000
AL_F7  , ALUMINIUM,              178830,                      19.28  ,                         17.92  ,                         17.92  ,   0.381747304,  13814530000,     149.433548  , True      ,                           0.1,                      200, , 1.38145E+13, 13814530000
AL_F8  , ALUMINIUM,              423704,                      20.55  ,                         19.36  ,                         19.36  ,   0.372063534,  38975402000,     131.5134064 , True      ,                           0.1,                      200, , 3.89754E+13, 38975402000
AL_F9  , ALUMINIUM,              289121,                       0.55  ,                          0.52  ,                          0.52  ,   0.205878234,  11899315000,     157.0151923 , True      ,                           0.1,                      200, , 1.18993E+13, 11899315000
AL_F10 , ALUMINIUM,             2445383,                       0.84  ,                          0.8   ,                          0.8   ,   0.218117066,  27986207000,     185.7480654 , True      ,                           0.1,                      200, , 2.79862E+13, 27986207000
AL_F11 , ALUMINIUM,             1813703,                       0.94  ,                          0.89  ,                          0.89  ,   0.403772242,  41133165000,     166.1179971 , True      ,                           0.1,                      200, , 4.11332E+13, 41133165000
AL_F12 , ALUMINIUM,             2095026,                       1.19  ,                          1.11  ,                          1.11  ,   0.564569618,  47726421000,     134.6113858 , True      ,                           0.1,                      200, , 4.77264E+13, 47726421000
AL_F13 , ALUMINIUM,              372507,                       1.44  ,                          1.34  ,                          1.34  ,   0.716162647,  45426840000,     144.2452895 , True      ,                           0.1,                      200, , 4.54268E+13, 45426840000
AL_F14 , ALUMINIUM,               46845,                       1.3386,                          1.2563,                          1.2563,   0.241281456,  29563672000,     188.1838782 , True      ,                           0.1,                      200, , 2.95637E+13, 29563672000
AL_F15 , ALUMINIUM,              103292,                       1.165 ,                          1.1027,                          1.1027,   0.605434712,  47625138000,     162.9159898 , True      ,                           0.1,                      200, , 4.76251E+13, 47625138000
AL_F16 , ALUMINIUM,               27265,                       1.4372,                          1.3423,                          1.3423,   0.348860159,  31844973000,     131.2455374 , True      ,                           0.1,                      200, , 3.1845E+13 , 31844973000
CE_F1  , CEMENT   ,             3532948,                       0.45  ,                          0.44  ,                          0.44  ,   0.481142149,  31189547000,     206.9054609 , True      ,                           0.1,                      200, , 3.11895E+13, 31189547000
CE_F2  , CEMENT   ,             2629151,                       0.49  ,                          0.48  ,                          0.48  ,   0.667143894,  28202549000,     161.5681761 , True      ,                           0.1,                      200, , 2.82025E+13, 28202549000
CE_F3  , CEMENT   ,             3166423,                       0.52  ,                          0.51  ,                          0.51  ,   0.831635353,  46402872000,     169.8744586 , True      ,                           0.1,                      200, , 4.64029E+13, 46402872000
CE_F4  , CEMENT   ,             1133857,                       0.51  ,                          0.5   ,                          0.5   ,   0.279969036,  26677840000,     143.9800669 , True      ,                           0.1,                      200, , 2.66778E+13, 26677840000
CE_F5  , CEMENT   ,             4286776,                       0.49  ,                          0.48  ,                          0.48  ,   0.778917869,  18086070000,     139.7749648 , True      ,                           0.1,                      200, , 1.80861E+13, 18086070000
CE_F6  , CEMENT   ,            11435872,                       0.47  ,                          0.46  ,                          0.46  ,   0.576311809,  17323581000,     169.199004  , True      ,                           0.1,                      200, , 1.73236E+13, 17323581000
CE_F7  , CEMENT   ,              955372,                       0.53  ,                          0.52  ,                          0.52  ,   0.183529622,  23920387000,     147.6710645 , True      ,                           0.1,                      200, , 2.39204E+13, 23920387000
CE_F8  , CEMENT   ,             4266298,                       0.51  ,                          0.5   ,                          0.5   ,   0.599093409,  20106190000,     109.7710942 , True      ,                           0.1,                      200, , 2.01062E+13, 20106190000
CE_F9  , CEMENT   ,             7253059,                       0.5   ,                          0.49  ,                          0.49  ,   0.440208768,  28296906000,     194.027778  , True      ,                           0.1,                      200, , 2.82969E+13, 28296906000
CE_F10 , CEMENT   ,             1527557,                       0.48  ,                          0.47  ,                          0.47  ,   0.117537165,  33219046000,     213.1047772 , True      ,                           0.1,                      200, , 3.3219E+13 , 33219046000
CE_F11 , CEMENT   ,             5723324,                       0.51  ,                          0.5   ,                          0.5   ,   0.243092881,  36460878000,     154.3781272 , True      ,                           0.1,                      200, , 3.64609E+13, 36460878000
CE_F12 , CEMENT   ,             4378944,                       0.5   ,                          0.49  ,                          0.49  ,   0.801683232,  40455635000,     164.3237273 , True      ,                           0.1,                      200, , 4.04556E+13, 40455635000
CE_F13 , CEMENT   ,             7872567,                       0.54  ,                          0.52  ,                          0.52  ,   0.803087182,  27865565000,     123.6007326 , True      ,                           0.1,                      200, , 2.78656E+13, 27865565000
CE_F14 , CEMENT   ,             1446197,                       0.58  ,                          0.56  ,                          0.56  ,   0.500072442,  47867448000,     173.3953911 , True      ,                           0.1,                      200, , 4.78674E+13, 47867448000
CE_F15 , CEMENT   ,             3675964,                       0.5   ,                          0.49  ,                          0.49  ,   0.299965032,  30976023000,     106.4021209 , True      ,                           0.1,                      200, , 3.0976E+13 , 30976023000
CE_F16 , CEMENT   ,             3506174,                       0.53  ,                          0.52  ,                          0.52  ,   0.455410608,  35883201000,     173.1185188 , True      ,                           0.1,                      200, , 3.58832E+13, 35883201000
CE_F17 , CEMENT   ,             1709557,                       0.53  ,                          0.52  ,                          0.52  ,   0.312299196,  17693947000,     181.9707895 , True      ,                           0.1,                      200, , 1.76939E+13, 17693947000
CE_F18 , CEMENT   ,             4978370,                       0.54  ,                          0.53  ,                          0.53  ,   0.55013807 ,  34278100000,     129.6316466 , True      ,                           0.1,                      200, , 3.42781E+13, 34278100000
CE_F19 , CEMENT   ,             5390695,                       0.59  ,                          0.57  ,                          0.57  ,   0.191415811,  47761698000,     162.8264164 , True      ,                           0.1,                      200, , 4.77617E+13, 47761698000
CE_F20 , CEMENT   ,             3935118,                       0.54  ,                          0.53  ,                          0.53  ,   0.487282257,  48976294000,     208.5225313 , True      ,                           0.1,                      200, , 4.89763E+13, 48976294000
CE_F21 , CEMENT   ,             4334256,                       0.52  ,                          0.51  ,                          0.51  ,   0.680922905,  14690158000,     118.8265123 , True      ,                           0.1,                      200, , 1.46902E+13, 14690158000
CE_F22 , CEMENT   ,             2324109,                       0.57  ,                          0.55  ,                          0.55  ,   0.520227186,  32784133000,     137.9731853 , True      ,                           0.1,                      200, , 3.27841E+13, 32784133000
CE_F23 , CEMENT   ,              688284,                       0.59  ,                          0.57  ,                          0.57  ,   0.86599041 ,  44792180000,     128.8865557 , True      ,                           0.1,                      200, , 4.47922E+13, 44792180000
CE_F24 , CEMENT   ,             2295606,                       0.54  ,                          0.52  ,                          0.52  ,   0.132701621,  28013128000,     220.3567168 , True      ,                           0.1,                      200, , 2.80131E+13, 28013128000
CE_F25 , CEMENT   ,             2036938,                       0.54  ,                          0.52  ,                          0.52  ,   0.230400481,  20209661000,     103.4863683 , True      ,                           0.1,                      200, , 2.02097E+13, 20209661000
CE_F26 , CEMENT   ,             5447961,                       0.56  ,                          0.54  ,                          0.54  ,   0.848129227,  19047145000,      91.04600298, True      ,                           0.1,                      200, , 1.90471E+13, 19047145000
CE_F27 , CEMENT   ,             3249503,                       0.57  ,                          0.55  ,                          0.55  ,   0.400890677,  20088187000,     140.6979868 , True      ,                           0.1,                      200, , 2.00882E+13, 20088187000
CE_F28 , CEMENT   ,             1485350,                       0.54  ,                          0.53  ,                          0.53  ,   0.779202288,  40618144000,     144.0819977 , True      ,                           0.1,                      200, , 4.06181E+13, 40618144000
CE_F29 , CEMENT   ,             1407631,                       0.58  ,                          0.57  ,                          0.57  ,   0.667966493,  25733168000,     140.3366093 , True      ,                           0.1,                      200, , 2.57332E+13, 25733168000
CE_F30 , CEMENT   ,             2577580,                       0.55  ,                          0.53  ,                          0.53  ,   0.40513559 ,  46400533000,     162.4333578 , True      ,                           0.1,                      200, , 4.64005E+13, 46400533000
CE_F31 , CEMENT   ,             8710175,                       0.56  ,                          0.54  ,                          0.54  ,   0.676624528,  28225049000,     144.0353915 , True      ,                           0.1,                      200, , 2.8225E+13 , 28225049000
CE_F32 , CEMENT   ,             4781658,                       0.57  ,                          0.55  ,                          0.55  ,   0.811156532,  20936555000,     112.1188782 , True      ,                           0.1,                      200, , 2.09366E+13, 20936555000
CE_F33 , CEMENT   ,             1302776,                       0.59  ,                          0.57  ,                          0.57  ,   0.108581256,  11276716000,     168.4917736 , True      ,                           0.1,                      200, , 1.12767E+13, 11276716000
CE_F34 , CEMENT   ,             3892366,                       0.57  ,                          0.55  ,                          0.55  ,   0.33224385 ,  21588272000,     180.9173828 , True      ,                           0.1,                      200, , 2.15883E+13, 21588272000
