Firm_ID,Step,Compliance_Gap
CE_F168,0,0.0
CE_F168,1,0.0
CE_F168,2,-1.4551915228366852e-11
CE_F168,3,0.0
CE_F168,4,-24978.38399999999
CE_F168,5,-56201.364
CE_F168,6,-87424.34399999998
CE_F168,7,-118647.32400000002
CE_F168,8,-149870.30400000006
CE_F168,9,-181093.28400000007
CE_F168,10,-212316.26400000008
CE_F168,11,-243539.24400000015
CE_F168,12,-31222.98
CE_F168,13,-62445.96
CE_F168,14,-93668.94
CE_F168,15,-124891.92
CE_F168,16,-156114.9
CE_F168,17,-187337.88
CE_F168,18,-218560.85999999996
CE_F168,19,-249783.84
CE_F168,20,-281006.82
CE_F168,21,-312229.80000000005
CE_F168,22,-343452.78
CE_F168,23,-374675.7600000001
CE_F79 ,0,139026.6900000004
CE_F79 ,1,278053.3800000008
CE_F79 ,2,417080.0700000003
CE_F79 ,3,556106.7600000016
CE_F79 ,4,653879.2410000004
CE_F79 ,5,586634.877000004
CE_F79 ,6,519390.513000004
CE_F79 ,7,452146.14900000393
CE_F79 ,8,384901.7849999964
CE_F79 ,9,317657.42099999636
CE_F79 ,10,250413.0569999963
CE_F79 ,11,183168.69299999624
CE_F79 ,12,-67244.36399999913
CE_F79 ,13,-134488.72799999826
CE_F79 ,14,-201733.09199999832
CE_F79 ,15,-268977.4559999965
CE_F79 ,16,-336221.8200000003
CE_F79 ,17,-403466.18400000036
CE_F79 ,18,-470710.5480000004
CE_F79 ,19,-537954.9120000005
CE_F79 ,20,-605199.276000008
CE_F79 ,21,-672443.640000008
CE_F79 ,22,-739688.0040000081
CE_F79 ,23,-806932.3680000082
CE_F22 ,0,41833.961999999825
CE_F22 ,1,83667.92399999965
CE_F22 ,2,125501.88599999901
CE_F22 ,3,167335.8479999993
CE_F22 ,4,159515.25299999863
CE_F22 ,5,151694.65799999796
CE_F22 ,6,131460.42599999812
CE_F22 ,7,111226.19399999827
CE_F22 ,8,90991.9619999975
CE_F22 ,9,70757.72999999672
CE_F22 ,10,50523.497999994084
CE_F22 ,11,30289.26599999331
CE_F22 ,12,-20234.232000000076
CE_F22 ,13,-40468.46400000015
CE_F22 ,14,-60702.69600000093
CE_F22 ,15,-80936.9280000003
CE_F22 ,16,-101171.16000000015
CE_F22 ,17,-121405.39199999999
CE_F22 ,18,-141639.62399999984
CE_F22 ,19,-161873.8560000006
CE_F22 ,20,-182108.0880000014
CE_F22 ,21,-202342.32000000216
CE_F22 ,22,-222576.5520000048
CE_F22 ,23,-242810.78400000557
CE_F116,0,59847.61499999999
CE_F116,1,119695.22999999998
CE_F116,2,179542.8450000002
CE_F116,3,239390.45999999996
CE_F116,4,299238.0750000011
CE_F116,5,351982.1160000013
CE_F116,6,404726.1570000006
CE_F116,7,429055.90199999884
CE_F116,8,453385.646999998
CE_F116,9,477715.3919999972
CE_F116,10,502045.1369999964
CE_F116,11,526374.8819999956
CE_F116,12,24329.74499999988
CE_F116,13,48659.48999999976
CE_F116,14,72989.23499999987
CE_F116,15,97318.97999999952
CE_F116,16,121648.72499999963
CE_F116,17,145978.46999999974
CE_F116,18,170308.21499999892
CE_F116,19,194637.95999999717
CE_F116,20,218967.70499999635
CE_F116,21,243297.44999999553
CE_F116,22,267627.1949999947
CE_F116,23,291956.9399999939
CE_F31 ,0,156783.15000000037
CE_F31 ,1,313566.30000000075
CE_F31 ,2,470349.4500000011
CE_F31 ,3,627132.6000000015
CE_F31 ,4,597822.9930000007
CE_F31 ,5,568513.3859999999
CE_F31 ,6,539203.7789999992
CE_F31 ,7,463370.9849999994
CE_F31 ,8,387538.1909999922
CE_F31 ,9,311705.39699999243
CE_F31 ,10,235872.60299998522
CE_F31 ,11,160039.80899998546
CE_F31 ,12,-75832.79400000023
CE_F31 ,13,-151665.58800000045
CE_F31 ,14,-227498.38200000115
CE_F31 ,15,-303331.1760000009
CE_F31 ,16,-379163.97000000253
CE_F31 ,17,-454996.7640000023
CE_F31 ,18,-530829.558000002
CE_F31 ,19,-606662.3519999981
CE_F31 ,20,-682495.1460000053
CE_F31 ,21,-758327.9400000051
CE_F31 ,22,-834160.7340000123
CE_F31 ,23,-909993.528000012
CE_F7  ,0,8598.348000000056
CE_F7  ,1,17196.696000000113
CE_F7  ,2,25795.043999999994
CE_F7  ,3,34393.392000000225
CE_F7  ,4,22580.235000000335
CE_F7  ,5,10767.078000000678
CE_F7  ,6,-1046.0789999989793
CE_F7  ,7,-17962.10999999894
CE_F7  ,8,-34878.1409999989
CE_F7  ,9,-51794.17199999932
CE_F7  ,10,-68710.20299999975
CE_F7  ,11,-85626.23399999924
CE_F7  ,12,-16916.03099999996
CE_F7  ,13,-33832.06199999992
CE_F7  ,14,-50748.09299999988
CE_F7  ,15,-67664.12399999984
CE_F7  ,16,-84580.1549999998
CE_F7  ,17,-101496.18599999975
CE_F7  ,18,-118412.21699999971
CE_F7  ,19,-135328.24799999967
CE_F7  ,20,-152244.27899999963
CE_F7  ,21,-169160.3099999996
CE_F7  ,22,-186076.34100000001
CE_F7  ,23,-202992.3719999995
CE_F77 ,0,65991.00599999959
CE_F77 ,1,131982.01199999917
CE_F77 ,2,197973.0179999983
CE_F77 ,3,263964.02399999835
CE_F77 ,4,329955.0299999956
CE_F77 ,5,317618.43299999647
CE_F77 ,6,285699.9329999946
CE_F77 ,7,253781.43299999833
CE_F77 ,8,221862.93299999833
CE_F77 ,9,189944.43299999833
CE_F77 ,10,158025.93300000206
CE_F77 ,11,126107.43300000206
CE_F77 ,12,-31918.5
CE_F77 ,13,-63837.0
CE_F77 ,14,-95755.5
CE_F77 ,15,-127674.0
CE_F77 ,16,-159592.50000000186
CE_F77 ,17,-191511.00000000186
CE_F77 ,18,-223429.50000000373
CE_F77 ,19,-255348.0
CE_F77 ,20,-287266.5
CE_F77 ,21,-319185.0
CE_F77 ,22,-351103.4999999963
CE_F77 ,23,-383021.9999999963
CE_F159,0,0.0
CE_F159,1,0.0
CE_F159,2,-7.275957614183426e-12
CE_F159,3,0.0
CE_F159,4,-5656.914000000004
CE_F159,5,-11313.828000000009
CE_F159,6,-16970.742000000013
CE_F159,7,-36034.542
CE_F159,8,-55098.34200000002
CE_F159,9,-74162.142
CE_F159,10,-93225.94200000002
CE_F159,11,-112289.74200000001
CE_F159,12,-19063.8
CE_F159,13,-38127.6
CE_F159,14,-57191.4
CE_F159,15,-76255.2
CE_F159,16,-95319.0
CE_F159,17,-114382.8
CE_F159,18,-133446.6
CE_F159,19,-152510.4
CE_F159,20,-171574.2
CE_F159,21,-190638.0
CE_F159,22,-209701.80000000002
CE_F159,23,-228765.6
CE_F76 ,0,102201.20999999996
CE_F76 ,1,204402.41999999993
CE_F76 ,2,306603.6300000008
CE_F76 ,3,408804.83999999985
CE_F76 ,4,480679.2809999995
CE_F76 ,5,552553.7219999991
CE_F76 ,6,503121.0870000012
CE_F76 ,7,453688.4519999996
CE_F76 ,8,404255.81700000167
CE_F76 ,9,354823.1819999963
CE_F76 ,10,305390.5469999984
CE_F76 ,11,255957.91199999303
CE_F76 ,12,-49432.63500000024
CE_F76 ,13,-98865.27000000048
CE_F76 ,14,-148297.9050000012
CE_F76 ,15,-197730.54000000097
CE_F76 ,16,-247163.17500000075
CE_F76 ,17,-296595.80999999866
CE_F76 ,18,-346028.4449999966
CE_F76 ,19,-395461.0799999982
CE_F76 ,20,-444893.7149999961
CE_F76 ,21,-494326.3500000015
CE_F76 ,22,-543758.9849999994
CE_F76 ,23,-593191.6200000048
CE_F161,0,0.0
CE_F161,1,0.0
CE_F161,2,0.0
CE_F161,3,0.0
CE_F161,4,-6806.66399999999
CE_F161,5,-29745.12599999999
CE_F161,6,-52683.58799999999
CE_F161,7,-75622.04999999996
