,0
total_profit,-2781936342101.825
average_profit,-13771962089.612995
median_profit,-8331286382.968802
profit_distribution,"{'count': 202.0, 'mean': -13771962089.612995, 'std': 17995565441.72221, 'min': -128926130909.40858, '25%': -19356591683.509552, '50%': -8331286382.968802, '75%': -229274426.51519352, 'max': -498173.6031489}"
total_cash,1.9258278991974996e+16
average_cash,95338014811757.4
median_cash,30189347055638.5
cash_distribution,"{'count': 202.0, 'mean': 95338014811757.4, 'std': 297115171442596.9, 'min': 4710492085772.0, '25%': 17884714977963.25, '50%': 30189347055638.5, '75%': 51369682626374.984, 'max': 2581265598706900.0}"
firms_with_positive_cash,202
cash_positive_rate,1.0
firms_in_financial_distress,0
