,firm_id,sector,baseline_production,baseline_emissions_intensity,target_emissions_intensity_2025,target_emissions_intensity_2026,risk_aversion,cash_on_hand,revenue_per_unit,is_covered,max_production_change_percent,variable_production_cost,,,.1,macc
0,AL_F1  , ALUMINIUM,1238336,13.49,12.83,12.83,0.775331388,35662359000,148.9941453,True,0.1,200, ,35662400000000.0,35662359000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 1719911.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 687964.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 171991.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 687964.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 1719911.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 687964.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 13071324.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 2751857.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 1375928.89, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 3439822.22, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 171991.11, 'implementation_time': 6, 'type': 'general'}]"
1,AL_F2  , ALUMINIUM,374049,15.63,14.74,14.74,0.81512925,12723863000,112.5390934,True,0.1,200, ,12723900000000.0,12723863000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 623415.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 249366.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 62341.5, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 207805.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 519512.5, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 207805.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 3948295.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 831220.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 83122.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 207805.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 10390.25, 'implementation_time': 6, 'type': 'general'}]"
2,AL_F3  , ALUMINIUM,591844,15.71,14.81,14.81,0.8388828,25786414000,169.8858136,True,0.1,200, ,25786400000000.0,25786414000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 822005.56, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 328802.22, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 82200.56, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 328802.22, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 822005.56, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 328802.22, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 6247242.22, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 1315208.89, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 657604.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 1644011.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 82200.56, 'implementation_time': 6, 'type': 'general'}]"
3,AL_F4  , ALUMINIUM,372000,16.7,15.68,15.68,0.712004942,31622310000,202.6589987,True,0.1,200, ,31622300000000.0,31622310000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 620000.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 248000.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 62000.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 206666.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 516666.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 206666.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 3926666.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 826666.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 82666.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 206666.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 10333.33, 'implementation_time': 6, 'type': 'general'}]"
4,AL_F5  , ALUMINIUM,555854,17.08,16.01,16.01,0.57663189,49201782000,175.4679696,True,0.1,200, ,49201800000000.0,49201782000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 772019.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 308807.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 77201.94, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 308807.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 772019.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 308807.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 5867347.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 1235231.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 617615.56, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 1544038.89, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 77201.94, 'implementation_time': 6, 'type': 'general'}]"
5,AL_F6  , ALUMINIUM,473457,17.35,16.25,16.25,0.803265391,20175337000,179.7337745,True,0.1,200, ,20175300000000.0,20175337000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 789095.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 315638.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 78909.5, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 263031.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 657579.17, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 263031.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 4997601.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 1052126.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 105212.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 263031.67, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 13151.58, 'implementation_time': 6, 'type': 'general'}]"
6,AL_F7  , ALUMINIUM,178830,19.28,17.92,17.92,0.381747304,13814530000,149.433548,True,0.1,200, ,13814500000000.0,13814530000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 298050.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 119220.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 29805.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 99350.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 248375.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 99350.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 1887650.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 397400.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 39740.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 99350.0, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 4967.5, 'implementation_time': 6, 'type': 'general'}]"
7,AL_F8  , ALUMINIUM,423704,20.55,19.36,19.36,0.372063534,38975402000,131.5134064,True,0.1,200, ,38975400000000.0,38975402000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 706173.33, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 282469.33, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 70617.33, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 235391.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 588477.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 235391.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 4472431.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 941564.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 94156.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 235391.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 11769.56, 'implementation_time': 6, 'type': 'general'}]"
8,AL_F9  , ALUMINIUM,289121,0.55,0.52,0.52,0.205878234,11899315000,157.0151923,True,0.1,200, ,11899300000000.0,11899315000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 481868.33, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 192747.33, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 48186.83, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 160622.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 401556.94, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 160622.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 3051832.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 642491.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 64249.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 160622.78, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 8031.14, 'implementation_time': 6, 'type': 'general'}]"
9,AL_F10 , ALUMINIUM,2445383,0.84,0.8,0.8,0.218117066,27986207000,185.7480654,True,0.1,200, ,27986200000000.0,27986207000,"[{'name': ' Alumina energy efficiency          ', 'cost_per_tonne': -700000000.0, 'abatement_potential': 3396365.28, 'implementation_time': 6, 'type': 'general'}, {'name': ' Aluminium energy efficiency        ', 'cost_per_tonne': -150000000.0, 'abatement_potential': 1358546.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Electrolysis off gas WHR           ', 'cost_per_tonne': -20000000.0, 'abatement_potential': 339636.53, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switch: Biomass               ', 'cost_per_tonne': 200000000.0, 'abatement_potential': 1358546.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Retrofit with inert anodes         ', 'cost_per_tonne': 220000000.0, 'abatement_potential': 3396365.28, 'implementation_time': 6, 'type': 'general'}, {'name': ' Cell operation optimisation        ', 'cost_per_tonne': 400000000.0, 'abatement_potential': 1358546.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' Renewable electricity use          ', 'cost_per_tonne': 600000000.0, 'abatement_potential': 25812376.11, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCS                                ', 'cost_per_tonne': 950000000.0, 'abatement_potential': 5434184.44, 'implementation_time': 6, 'type': 'general'}, {'name': ' Fuel switching to NG               ', 'cost_per_tonne': 2150000000.0, 'abatement_potential': 2717092.22, 'implementation_time': 6, 'type': 'general'}, {'name': ' CCU                                ', 'cost_per_tonne': 4900000000.0, 'abatement_potential': 6792730.56, 'implementation_time': 6, 'type': 'general'}, {'name': ' Offset                             ', 'cost_per_tonne': 4910000000.0, 'abatement_potential': 339636.53, 'implementation_time': 6, 'type': 'general'}]"
