,firm_id,project_num,project_name,cost_per_tonne,abatement_potential
0,CE_F1  ,1, Efficient electrical equipment     ,-430000000.0,20967.05
1,CE_F1  ,2, Waste heat recovery                ,-420000000.0,83868.2
2,CE_F1  ,3, Automation system                  ,-410000000.0,41934.1
3,CE_F1  ,4, Efficient grinding system          ,-360000000.0,52417.63
4,CE_F1  ,5, Optimising auxiliary power         ,-340000000.0,10483.53
5,CE_F1  ,6, Increasing slag to 70% in PSC      ,-300000000.0,52417.63
6,CE_F1  ,7, Enhancement in Kiln                ,-280000000.0,31450.58
7,CE_F1  ,8, Heat rate reduction in CPP         ,-260000000.0,20967.05
8,CE_F1  ,9, Improving burnability of material  ,-130000000.0,73384.68
9,CE_F1  ,10, Burner retrofit                    ,-120000000.0,10483.53
10,CE_F1  ,11, High efficiency clinker coolers    ,-100000000.0,31450.58
11,CE_F1  ,12, Substitute OPC with LC3 cement     ,-80000000.0,41934.1
12,CE_F1  ,13, Increasing fly ash to 35% in PPC   ,-70000000.0,104835.25
13,CE_F1  ,14, Renewable energy use in electricity,180000000.0,83868.2
14,CE_F1  ,15, Increasing TSR to 30% in kiln fuel ,420000000.0,188703.45
15,CE_F1  ,16, CCS                                ,900000000.0,629011.51
16,CE_F1  ,17, Decreasing clinker to 85% in OPC   ,1200000000.0,52417.63
17,CE_F1  ,18, CCU                                ,1860000000.0,629011.51
18,CE_F1  ,19, Offset                             ,1880000000.0,125802.3
19,CE_F2  ,1, Efficient electrical equipment     ,-430000000.0,15603.27
20,CE_F2  ,2, Waste heat recovery                ,-420000000.0,62413.08
21,CE_F2  ,3, Automation system                  ,-410000000.0,31206.54
22,CE_F2  ,4, Efficient grinding system          ,-360000000.0,39008.18
23,CE_F2  ,5, Optimising auxiliary power         ,-340000000.0,7801.64
24,CE_F2  ,6, Increasing slag to 70% in PSC      ,-300000000.0,39008.18
25,CE_F2  ,7, Enhancement in Kiln                ,-280000000.0,23404.91
26,CE_F2  ,8, Heat rate reduction in CPP         ,-260000000.0,15603.27
27,CE_F2  ,9, Improving burnability of material  ,-130000000.0,54611.45
28,CE_F2  ,10, Burner retrofit                    ,-120000000.0,7801.64
29,CE_F2  ,11, High efficiency clinker coolers    ,-100000000.0,23404.91
30,CE_F2  ,12, Substitute OPC with LC3 cement     ,-80000000.0,31206.54
31,CE_F2  ,13, Increasing fly ash to 35% in PPC   ,-70000000.0,78016.35
32,CE_F2  ,14, Renewable energy use in electricity,180000000.0,62413.08
33,CE_F2  ,15, Increasing TSR to 30% in kiln fuel ,420000000.0,140429.43
34,CE_F2  ,16, CCS                                ,900000000.0,468098.1
35,CE_F2  ,17, Decreasing clinker to 85% in OPC   ,1200000000.0,39008.18
36,CE_F2  ,18, CCU                                ,1860000000.0,468098.1
37,CE_F2  ,19, Offset                             ,1880000000.0,93619.62
38,CE_F3  ,1, Efficient electrical equipment     ,-430000000.0,18791.83
39,CE_F3  ,2, Waste heat recovery                ,-420000000.0,75167.31
40,CE_F3  ,3, Automation system                  ,-410000000.0,37583.66
41,CE_F3  ,4, Efficient grinding system          ,-360000000.0,46979.57
42,CE_F3  ,5, Optimising auxiliary power         ,-340000000.0,9395.91
43,CE_F3  ,6, Increasing slag to 70% in PSC      ,-300000000.0,46979.57
44,CE_F3  ,7, Enhancement in Kiln                ,-280000000.0,28187.74
45,CE_F3  ,8, Heat rate reduction in CPP         ,-260000000.0,18791.83
46,CE_F3  ,9, Improving burnability of material  ,-130000000.0,65771.4
47,CE_F3  ,10, Burner retrofit                    ,-120000000.0,9395.91
48,CE_F3  ,11, High efficiency clinker coolers    ,-100000000.0,28187.74
