,0
total_trading_volume,200.0
total_transaction_value,1562611.9293146236
total_transactions,1
average_trade_size,200.0
average_trade_price,7813.059646573118
min_trade_price,7813.059646573118
max_trade_price,7813.059646573118
median_trade_price,7813.059646573118
price_volatility,
trade_size_distribution,"{'count': 1.0, 'mean': 200.0, 'std': nan, 'min': 200.0, '25%': 200.0, '50%': 200.0, '75%': 200.0, 'max': 200.0}"
participation_analysis,"[{'step': np.int64(1), 'buy_participation': np.float64(0.7970297029702971), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.7970297029702971)}, {'step': np.int64(2), 'buy_participation': np.float64(0.7970297029702971), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.7970297029702971)}, {'step': np.int64(3), 'buy_participation': np.float64(0.8316831683168316), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.8316831683168316)}, {'step': np.int64(4), 'buy_participation': np.float64(0.7970297029702971), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.7970297029702971)}, {'step': np.int64(5), 'buy_participation': np.float64(0.806930693069307), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.806930693069307)}, {'step': np.int64(6), 'buy_participation': np.float64(0.7722772277227723), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.7722772277227723)}, {'step': np.int64(7), 'buy_participation': np.float64(0.7277227722772277), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.7277227722772277)}, {'step': np.int64(8), 'buy_participation': np.float64(0.6683168316831684), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.6683168316831684)}, {'step': np.int64(9), 'buy_participation': np.float64(0.6089108910891089), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.6089108910891089)}, {'step': np.int64(10), 'buy_participation': np.float64(0.5643564356435643), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.5643564356435643)}, {'step': np.int64(11), 'buy_participation': np.float64(0.5346534653465347), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.5346534653465347)}, {'step': np.int64(12), 'buy_participation': np.float64(0.5297029702970297), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.5297029702970297)}, {'step': np.int64(13), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(14), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(15), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(16), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(17), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(18), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(19), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(20), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(21), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(22), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(23), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}, {'step': np.int64(24), 'buy_participation': np.float64(0.2376237623762376), 'sell_participation': np.float64(0.0), 'total_participation': np.float64(0.2376237623762376)}]"
