,Carbon_Price,Total_Emissions,Total_Abated_Tons_Step,Total_Abated_Tons_Cumulative,Total_Production,Total_Annual_Emissions,Total_Annual_Production,Market_Volume,Price_Volatility,Compliance_Rate,Average_Profit,Total_Transactions,Market_Depth,Buy_Orders,Sell_Orders,Price_Spread,market_stability_reserve_fund,market_stability_reserve_credits
0,4192.8055160151625,305719391.92368877,0.0,0.0,488815991.1348047,305719391.92368877,488815991.1348047,0.0,0.01,1.0,95352347904558.69,0,163,162,1,0.7562935509432532,1000000.0,1000.0
1,4392.883533704127,305719391.8694938,0.0,0.0,488815991.13167477,611438783.7931826,977631982.2664796,0.0,0.01,1.0,-6097799922.112536,0,324,323,1,0.7446088697426921,1000000.0,1000.0
2,4602.509147390436,305719391.708771,0.0,0.0,488815991.12204885,917158175.5019535,1466447973.3885288,0.0,0.01,1.0,-6382351568.162029,0,485,484,1,0.7324217671255906,1000000.0,1000.0
3,4822.137962294399,305719391.7087713,0.0,0.0,488815991.12204874,1222877567.2107253,1955263964.5105765,0.0,0.01,1.0,-6361914152.89675,0,646,645,1,0.7324217671255906,1000000.0,1000.0
4,5052.247324828227,298603740.35316473,0.0,8839299.19,488815991.1213503,1521481307.5638907,2444079955.631928,0.0,0.01,1.0,-6378240334.261576,0,802,801,1,0.7258190584019388,1000000.0,1000.0
5,5293.337360071911,288326843.7620133,0.0,20904568.17,488815991.1213504,1809808151.3259027,2932895946.7532783,0.0,0.01,1.0,-6434768366.89998,0,956,955,1,0.7130000007405768,1000000.0,1000.0
6,5545.9320587567845,283040528.1045969,0.0,30691034.41,488815991.10505944,2092848679.4304998,3421711937.8583384,0.0,0.01,1.0,-6608212407.642765,0,1101,1100,1,0.6995958860103927,1000000.0,1000.0
7,5810.58041611926,277719585.5991647,0.0,38999987.85,488815991.10505927,2370568265.029663,3910527928.963396,0.0,0.01,1.0,-6777866777.099278,0,1236,1235,1,0.6855660381394766,1000000.0,1000.0
8,5965.916917197112,277719585.59916466,0.0,38999987.85,488815991.1050593,2648287850.6288304,4399343920.068457,0.0,0.022095594425139097,1.0,-7094764484.09026,0,1359,1358,1,0.6708812609678381,1000000.0,1000.0
9,6247.128410683329,277719585.59916466,0.0,38999987.85,488815991.1050591,2926007436.2279935,4888159911.173515,0.0,0.021030931162862337,1.0,-7376591542.495411,0,1473,1472,1,0.6578751746488044,1000000.0,1000.0
10,6541.915776605566,277719585.50699997,0.0,38999987.85,488815991.09999996,3203727021.734994,5376975902.273517,0.0,0.020109663685052535,0.46534653465346537,-7683022707.4748,0,1581,1580,1,0.6437347117060975,1000000.0,1000.0
