firm_id, project_num, project_name                       , cost_per_tonne, abatement_potential
CE_F1  ,           1, Efficient electrical equipment     , -430000000.00 ,            20967.05
CE_F1  ,           2, Waste heat recovery                , -420000000.00 ,            83868.2
CE_F1  ,           3, Automation system                  , -410000000.00 ,            41934.1
CE_F1  ,           4, Efficient grinding system          , -360000000.00 ,            52417.63
CE_F1  ,           5, Optimising auxiliary power         , -340000000.00 ,            10483.53
CE_F1  ,           6, Increasing slag to 70% in PSC      , -300000000.00 ,            52417.63
CE_F1  ,           7, Enhancement in Kiln                , -280000000.00 ,            31450.58
CE_F1  ,           8, Heat rate reduction in CPP         , -260000000.00 ,            20967.05
CE_F1  ,           9, Improving burnability of material  , -130000000.00 ,            73384.68
CE_F1  ,          10, Burner retrofit                    , -120000000.00 ,            10483.53
CE_F1  ,          11, High efficiency clinker coolers    , -100000000.00 ,            31450.58
CE_F1  ,          12, Substitute OPC with LC3 cement     , -80000000.00  ,            41934.1
CE_F1  ,          13, Increasing fly ash to 35% in PPC   , -70000000.00  ,           104835.25
CE_F1  ,          14, Renewable energy use in electricity, 180000000.00  ,            83868.2
CE_F1  ,          15, Increasing TSR to 30% in kiln fuel , 420000000.00  ,           188703.45
CE_F1  ,          16, CCS                                , 900000000.00  ,           629011.51
CE_F1  ,          17, Decreasing clinker to 85% in OPC   , 1200000000.00 ,            52417.63
CE_F1  ,          18, CCU                                , 1860000000.00 ,           629011.51
CE_F1  ,          19, Offset                             , 1880000000.00 ,           125802.3
CE_F2  ,           1, Efficient electrical equipment     , -430000000.00 ,            15603.27
CE_F2  ,           2, Waste heat recovery                , -420000000.00 ,            62413.08
CE_F2  ,           3, Automation system                  , -410000000.00 ,            31206.54
CE_F2  ,           4, Efficient grinding system          , -360000000.00 ,            39008.18
CE_F2  ,           5, Optimising auxiliary power         , -340000000.00 ,             7801.64
CE_F2  ,           6, Increasing slag to 70% in PSC      , -300000000.00 ,            39008.18
CE_F2  ,           7, Enhancement in Kiln                , -280000000.00 ,            23404.91
CE_F2  ,           8, Heat rate reduction in CPP         , -260000000.00 ,            15603.27
CE_F2  ,           9, Improving burnability of material  , -130000000.00 ,            54611.45
CE_F2  ,          10, Burner retrofit                    , -120000000.00 ,             7801.64
CE_F2  ,          11, High efficiency clinker coolers    , -100000000.00 ,            23404.91
CE_F2  ,          12, Substitute OPC with LC3 cement     , -80000000.00  ,            31206.54
CE_F2  ,          13, Increasing fly ash to 35% in PPC   , -70000000.00  ,            78016.35
CE_F2  ,          14, Renewable energy use in electricity, 180000000.00  ,            62413.08
CE_F2  ,          15, Increasing TSR to 30% in kiln fuel , 420000000.00  ,           140429.43
CE_F2  ,          16, CCS                                , 900000000.00  ,           468098.1
CE_F2  ,          17, Decreasing clinker to 85% in OPC   , 1200000000.00 ,            39008.18
CE_F2  ,          18, CCU                                , 1860000000.00 ,           468098.1
CE_F2  ,          19, Offset                             , 1880000000.00 ,            93619.62
CE_F3  ,           1, Efficient electrical equipment     , -430000000.00 ,            18791.83
CE_F3  ,           2, Waste heat recovery                , -420000000.00 ,            75167.31
CE_F3  ,           3, Automation system                  , -410000000.00 ,            37583.66
CE_F3  ,           4, Efficient grinding system          , -360000000.00 ,            46979.57
CE_F3  ,           5, Optimising auxiliary power         , -340000000.00 ,             9395.91
CE_F3  ,           6, Increasing slag to 70% in PSC      , -300000000.00 ,            46979.57
CE_F3  ,           7, Enhancement in Kiln                , -280000000.00 ,            28187.74
CE_F3  ,           8, Heat rate reduction in CPP         , -260000000.00 ,            18791.83
CE_F3  ,           9, Improving burnability of material  , -130000000.00 ,            65771.4
CE_F3  ,          10, Burner retrofit                    , -120000000.00 ,             9395.91
CE_F3  ,          11, High efficiency clinker coolers    , -100000000.00 ,            28187.74
